1.6,1.73,1.8,1.67,2.33,1.73,2.33,1.27,1.2,1.13,1.4,1.47,1,1.13,1.07,1.33,1.27,1.73,1.53,1.13,1.27,1.4,1.07,1.07,1.27,1.27,1.6,1.33,1.13,1.93,1.47,1.67
2.2,1.73,1.8,2.13,1.73,1.6,1.6,1.27,1.4,1,1.27,1.13,1.07,1.6,1.07,1.2,1.87,1.33,1.73,1.4,1.13,1.4,1.27,1.27,1.53,1.53,1.53,1.53,2,1.47,1.53,1.8
2.67,1.73,1.33,1.33,1.13,1.13,1.4,1.07,1.13,1.33,1.6,1.73,1.33,1.27,1.13,1.07,1.87,1.53,1.2,1.33,1.2,1.4,1.2,1.2,1.4,1.6,1.67,1.53,1.8,1.6,1.13,1.2
1.73,2.53,2.47,2.2,1.73,1.8,1.2,1.2,1.13,1.47,1.27,1.07,1.07,1.4,1.4,1.33,1.53,1.47,1.33,1.47,1,1.33,1.27,1.2,1.2,1.27,1.6,1.6,1.93,1.33,1.6,1.2
2.8,1.8,2.13,2.27,1.53,1.93,1.73,1.33,1.13,1.4,2.2,1.2,1.53,1.2,1,1,1.53,1.53,1.47,1.13,1.67,1.2,1.27,1.07,1.53,1.4,1.2,1.33,1.67,1.4,1.67,1.27
2,1.73,2.4,2.6,1.8,2.07,1.4,1.4,1.13,1.2,1.2,1.73,1.4,1.2,1.07,1,1.47,1.4,1,1,1.27,1.27,1.07,1.33,1.53,1.33,1.6,1.87,1.47,1.13,1.47,1.2
1.73,2.27,2.2,1.87,1.6,1.07,1.13,1,1.47,1.47,1.33,1,1.33,1.13,1.27,1.13,1.53,1.53,1.13,1.33,1.2,1.27,1.27,1,1.33,1.6,1.6,1.47,1.13,1.2,1.53,1.4
1.93,1.33,1.87,1.93,2.13,2.13,2.2,1.6,1.4,1.13,2.13,1.67,1.2,1.33,1.27,1.07,1.33,1.33,1,1.4,1.27,1.2,1.33,1.07,1.2,1.67,1.6,1.73,1.47,1.4,1.13,1.2
1.67,1.8,1.4,2.07,1.73,1.8,2.4,2.4,1.33,1.6,1.13,1.13,1.2,1.13,1.2,1.33,1.27,1.27,1.27,1.53,1.33,1.2,1.4,1.27,1.47,1.13,1.67,1.73,1.87,1.2,1.4,1.6
1.93,1.07,1.93,1.87,2.07,2.13,1.8,1.07,1.13,1.07,1.53,1.2,1.07,1.33,1.13,1.07,1.6,1.4,1.4,1.4,1.47,1.07,1.27,1.27,1.4,1.27,1.27,1.2,1.13,1.27,1.47,1.07
